,attribute,attribute
Age,20000,9292
Cell type,20000,20000
Condition/Disease,5295,1540
Data type,3254,1543
Genotype,14930,4747
Platform,7467,1590
Protocol,635,178
Sex,2046,853
Species,20000,20000
Strain,20000,7908
Tissue,20000,20000
