srs,attribute,value
SRS152984,TITLE,Anaerobic bioreactor bacterial 16S rRNA V2 amplicons
SRS423336,TITLE,"DNA sample from a human female participant in the dbGaP study ""STAMPEED: Northern Finland Birth Cohort 1966 (NFBC1966)"""
SRS2323494,TITLE,JSJ_Q3_U5
SRS1207595,TITLE,"DNA sample from a human male participant in the dbGaP study ""University of Washington Center for Mendelian Genomics (UW-CMG)"""
SRS489743,TITLE,"Tumor DNA sample from Primary Blood Derived Cancer - Bone Marrow of a human male participant in the dbGaP study ""TARGET: Acute Myeloid Leukemia (AML)"""
