,attribute,attribute
Age,20000,9300
Cell type,20000,20000
Condition/Disease,5363,1569
Data type,3250,1544
Genotype,14912,4759
Platform,7462,1590
Protocol,637,178
Sex,2053,849
Species,20000,20000
Strain,20000,7928
Tissue,20000,20000
